Wall time,Step,Value
1767547168.664682,4,22.240602493286133
1767547172.0085428,5,22.627492904663086
1767547378.029559,11,24.13569450378418
1767547573.2585585,15,24.791549682617188
1767547621.6555436,16,24.928829193115234
1767547767.0166109,19,25.318078994750977
1767547816.4954896,20,25.454120635986328
1767548005.9211502,21,25.553932189941406
1767548092.6120684,23,25.798763275146484
1767548138.7205358,24,25.901330947875977
1767548281.6014252,27,26.213985443115234
1767548330.3539512,28,26.304811477661133
1767548980.8117728,39,27.197124481201172
1767549227.207979,41,27.329439163208008
1767549500.3627126,48,27.773534774780273
1767549548.9641464,49,27.83544921875
1767549596.8109765,50,27.88361167907715
1767549842.7559128,52,28.019554138183594
1767549989.302647,55,28.173295974731445
1767550116.9770262,58,28.318483352661133
1767550411.9773822,61,28.47747230529785
1767550460.8055904,62,28.5167236328125
1767550509.756479,63,28.566688537597656
1767550558.0742824,64,28.619348526000977
1767550644.52392,66,28.719253540039062
1767550693.4816594,67,28.74711036682129
1767550726.6878142,68,28.78192138671875
1767550747.8039954,69,28.842802047729492
1767550993.668815,71,28.92978858947754
1767551042.7613842,72,28.97970962524414
1767551338.388815,78,29.216535568237305
1767551416.942526,80,29.286975860595703
1767551712.7500317,83,29.394245147705078
1767551858.7376208,86,29.517961502075195
1767552029.6652744,90,29.64186668395996
1767552654.9006972,100,29.99228858947754
1767552991.7197356,104,30.100309371948242
1767553140.3235543,107,30.20060157775879
1767553189.2595117,108,30.229759216308594
1767553287.7832117,110,30.26573944091797
1767553759.9761539,117,30.466960906982422
1767554135.8157465,122,30.598873138427734
1767554332.397108,126,30.68926239013672
1767554381.2675643,127,30.717470169067383
1767554479.2484741,129,30.77040672302246
1767554695.1708028,131,30.812837600708008
1767554972.7534752,137,30.945438385009766
1767555021.8678741,138,30.968618392944336
1767555511.618641,145,31.118196487426758
1767555610.691811,147,31.17906951904297
1767555660.0888746,148,31.191770553588867
1767555935.6417422,151,31.24889373779297
1767556222.4964228,158,31.38446807861328
1767556519.7410562,161,31.460845947265625
