Wall time,Step,Value
1767547168.6646917,4,22.346925735473633
1767547172.0085528,5,22.70913314819336
1767547378.0295684,11,24.17291259765625
1767547573.2585685,15,24.82118034362793
1767547621.655559,16,24.956329345703125
1767547767.0166206,19,25.34254264831543
1767547816.4954996,20,25.477664947509766
1767548005.9211595,21,25.577789306640625
1767548092.6120775,23,25.820592880249023
1767548138.7205453,24,25.921836853027344
1767548281.601435,27,26.232742309570312
1767548330.3539608,28,26.323509216308594
1767548980.811783,39,27.211511611938477
1767549227.207988,41,27.343059539794922
1767549500.3627224,48,27.786087036132812
1767549548.964157,49,27.847389221191406
1767549596.8109856,50,27.895103454589844
1767549842.7559228,52,28.030921936035156
1767549989.3026583,55,28.184707641601562
1767550116.9770355,58,28.328874588012695
1767550411.9773922,61,28.487634658813477
1767550460.8056011,62,28.526811599731445
1767550509.7564876,63,28.57611656188965
1767550558.0742981,64,28.629018783569336
1767550644.5239332,66,28.728466033935547
1767550693.4816697,67,28.75614356994629
1767550726.6878245,68,28.791250228881836
1767550747.8040059,69,28.852087020874023
1767550993.668825,71,28.93869400024414
1767551042.7613943,72,28.988473892211914
1767551338.388825,78,29.224685668945312
1767551416.9425352,80,29.29497718811035
1767551712.7500412,83,29.40191078186035
1767551858.7376301,86,29.5252685546875
1767552029.6652834,90,29.649076461791992
1767552654.9007077,100,29.998842239379883
1767552991.7197595,104,30.10671043395996
1767553140.3235655,107,30.20707130432129
1767553189.2595215,108,30.236038208007812
1767553287.7832232,110,30.27185821533203
1767553759.976164,117,30.472658157348633
1767554135.8157563,122,30.604642868041992
1767554332.3971188,126,30.694744110107422
1767554381.2675748,127,30.72285270690918
1767554479.248485,129,30.775794982910156
1767554695.1708193,131,30.818099975585938
1767554972.7534857,137,30.950439453125
1767555021.867886,138,30.973844528198242
1767555511.618654,145,31.12296485900879
1767555610.6918216,147,31.183977127075195
1767555660.0888941,148,31.196823120117188
1767555935.6417544,151,31.253475189208984
1767556222.4964314,158,31.38896942138672
1767556519.7410684,161,31.465360641479492
1767556617.8777204,163,31.489953994750977
1767556716.7154462,165,31.525583267211914
1767557144.7228587,171,31.65558433532715
1767557194.4382062,172,31.67276954650879
1767557228.330296,173,31.688350677490234
1767557471.4482768,178,31.781679153442383
1767557799.1416528,182,31.831174850463867
1767557948.1293852,185,31.894350051879883
1767557997.390964,186,31.903911590576172
1767558046.3728635,187,31.923748016357422
1767558377.4736822,191,31.972883224487305
1767558427.135014,192,31.991880416870117
1767558476.5584831,193,32.01403045654297
1767558816.1390014,200,32.14008712768555
1767559105.4725153,203,32.17359924316406
1767559154.444733,204,32.203765869140625
1767559204.0675013,205,32.20222854614258
1767559253.5911977,206,32.232540130615234
1767559352.74107,208,32.24398422241211
1767559692.2612846,212,32.30305862426758
1767559792.0567186,214,32.331138610839844
1767559872.9555967,216,32.37256622314453
1767560069.951461,220,32.4124870300293
1767560260.2178593,221,32.42082214355469
1767560309.6847684,222,32.45936584472656
1767560457.7260485,225,32.50053405761719
1767560705.073014,230,32.553497314453125
1767561322.3507292,240,32.67786407470703
1767561552.1648166,242,32.70402145385742
1767561702.0124722,245,32.75300598144531
1767561752.117179,246,32.75711441040039
1767561802.4142263,247,32.75318145751953
1767562340.1276617,255,32.86735153198242
1767562506.7023144,259,32.9300537109375
1767562555.8595617,260,32.92311477661133
1767562753.91791,261,32.94623565673828
1767563447.217384,272,33.04859924316406
1767563561.6219554,275,33.10401916503906
1767563659.470329,277,33.11912155151367
1767563743.0317612,279,33.13482666015625
1767563987.0777793,281,33.17653274536133
1767564085.7920537,283,33.174888610839844
1767564235.4677675,286,33.21547317504883
1767564364.912814,289,33.24892807006836
1767564613.8510897,291,33.259429931640625
1767564862.0870433,296,33.32613754272461
1767564952.65602,298,33.3404655456543
1767565001.8284554,299,33.354923248291016
1767565510.8838367,307,33.429073333740234
1767565606.2659585,309,33.43766784667969
1767565954.3430464,313,33.49690246582031
1767566152.6238499,317,33.535701751708984
1767566252.3081608,319,33.53908157348633
1767566284.705413,320,33.558780670166016
1767566546.2874525,323,33.577186584472656
1767567425.3464277,338,33.70268630981445
1767567475.1725204,339,33.72032928466797
1767567837.41313,344,33.76134490966797
1767567937.0769446,346,33.802330017089844
1767567987.0337372,347,33.806671142578125
1767568419.2306995,353,33.83598709106445
1767568519.400927,355,33.87053298950195
1767568718.7820964,359,33.89535903930664
1767569020.819763,363,33.90290832519531
1767569070.5254989,364,33.93044662475586
1767569120.1295028,365,33.951820373535156
1767569169.5173883,366,33.95981216430664
1767569219.3304892,367,33.95588302612305
1767569269.5730665,368,33.95512390136719
1767569946.167656,379,34.054256439208984
1767570470.693542,387,34.10626983642578
1767570804.6498616,391,34.13897705078125
1767570905.04656,393,34.162105560302734
1767571004.9797935,395,34.170467376708984
1767571135.754753,398,34.18770980834961
1767571532.655094,403,34.218509674072266
1767571613.3179736,405,34.245758056640625
1767571843.659474,410,34.28460693359375
1767572199.4680917,414,34.303436279296875
1767572249.5639684,415,34.31477355957031
1767572299.120704,416,34.32899856567383
1767572729.4331737,422,34.353633880615234
1767572779.2681136,423,34.36912536621094
1767572909.6464293,426,34.375816345214844
1767572960.0352018,427,34.39311599731445
1767573292.1576998,431,34.421226501464844
1767573539.9757025,436,34.440799713134766
1767573589.396335,437,34.466487884521484
1767573639.0813363,438,34.46623229980469
1767573721.88272,440,34.479881286621094
1767573968.9962678,442,34.48335266113281
1767574068.1282964,444,34.50603485107422
1767574118.2031448,445,34.51704406738281
1767574203.066449,447,34.526084899902344
1767574536.5874093,451,34.53437042236328
1767574636.0950158,453,34.561500549316406
1767574834.1328835,457,34.58045196533203
1767575174.129873,461,34.593223571777344
1767575223.525779,462,34.62134552001953
1767575403.7186677,466,34.626373291015625
1767575450.8541656,467,34.64892578125
1767575549.5203543,469,34.65435791015625
1767575786.5629425,471,34.65579605102539
1767575979.0182605,475,34.686771392822266
1767576026.171242,476,34.69279479980469
1767576400.7889986,481,34.722198486328125
1767576447.4371016,482,34.731136322021484
1767576586.1349845,485,34.74357223510742
1767576713.658439,488,34.7791862487793
1767576759.9101682,489,34.77991485595703
